# Latitude, Longitude, COTotalColumn,COMixingRatio surface,COMixingRatio 900hPa,COMixingRatio 800hPa,COMixingRatio 700hPa,COMixingRatio 600hPa, COMixingRatio 500hPa,COMixingRatio 400hPa,COMixingRatio 300hPa,COMixingRatio 200hPa,COMixingRatio 100hPa,RetrievedSurfaceTemperature 
-79.6551,93.7193,4.62687e+17,49.8405,nan,nan,nan,49.6796,43.0088,38.0356,37.3744,23.8752,15.3278,233.422
-79.5123,94.548,3.99771e+17,40.5971,nan,nan,nan,40.142,36.6002,34.2789,32.1296,20.2391,14.1878,232.72
-79.3678,95.3558,3.10763e+17,30.8601,nan,nan,nan,30.0004,27.1875,25.9934,23.7947,15.685,12.6807,232.746
-79.2213,96.1448,3.35275e+17,33.7275,nan,nan,nan,32.896,29.7749,28.1456,25.8595,16.8277,13.0998,235.571
-79.4186,92.3463,6.77407e+17,76.5879,nan,nan,nan,77.9326,68.8044,56.0248,55.5273,32.6617,17.1942,233.001
-79.2799,93.1712,3.79282e+17,37.738,nan,nan,nan,37.279,34.6902,33.1066,30.4769,19.098,13.7659,232.805
-79.1394,93.976,3.45482e+17,34.1105,nan,nan,nan,33.4866,31.0243,29.8292,27.2568,17.3971,13.2199,233.309
-78.9969,94.7631,2.89739e+17,28.5052,nan,nan,nan,27.6517,25.0919,24.1624,21.9247,14.5798,12.2169,235.563
-79.1257,90.7838,6.59096e+17,59.3479,nan,nan,nan,60.3936,66.864,68.0618,59.4768,29.1713,15.8517,231.156
-78.9913,91.6051,3.73037e+17,36.0715,nan,nan,nan,35.5905,34.0137,33.3576,30.2734,18.635,13.5229,231.78
-78.8549,92.4075,3.49834e+17,34.0185,nan,nan,nan,33.4245,31.5388,30.7404,27.8737,17.516,13.1927,232.372
-78.7164,93.1928,2.93162e+17,28.5936,nan,nan,nan,27.7598,25.4122,24.6567,22.4059,14.8073,12.267,233.645
-78.8253,89.2956,8.36949e+17,72.0567,nan,nan,nan,75.0512,88.0524,90.0233,76.8434,34.1025,16.5873,230.292
-78.6944,90.1152,4.07612e+17,39.0451,nan,nan,nan,38.5919,37.5264,36.8788,33.5044,20.1226,13.9202,231.248
-78.5614,90.9165,3.05174e+17,29.8386,nan,nan,nan,28.8666,26.4981,25.6271,23.4338,15.4506,12.4924,231.57
-78.4263,91.7017,3.20271e+17,31.2588,nan,nan,nan,30.3593,28.0941,27.2234,24.9067,16.2076,12.7683,232.343
-78.5147,87.8661,5.38326e+17,64.251,nan,nan,nan,65.0147,51.0884,39.8676,39.0508,25.89,15.8883,232.576
-78.3866,88.6858,3.35798e+17,34.1158,nan,nan,nan,32.9046,29.3947,27.2489,25.428,17.0305,13.1242,231.254
-78.2565,89.488,2.56424e+17,25.3583,nan,nan,nan,23.8566,21.1762,20.1005,18.5825,13.0555,11.5787,232.523
-78.124,90.2746,2.94813e+17,29.0845,nan,nan,nan,27.7779,25.234,24.1117,22.1275,14.9117,12.3079,233.589
